               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.039807,            0.036347,           0.0088841,             0.79497,             0.71992,             0.71688,             0.33362,            0.029589,            0.014485,            0.021692,            0.004654,            0.004654,            0.004654
                  56,            0.039429,            0.035646,           0.0082561,             0.80503,             0.69727,             0.70218,             0.32303,            0.029495,            0.014137,            0.020849,            0.004555,            0.004555,            0.004555
                  57,            0.039149,            0.035471,           0.0085924,             0.81773,             0.69784,             0.72605,             0.32905,            0.030268,            0.014262,            0.019049,            0.004456,            0.004456,            0.004456
                  58,             0.03897,            0.035022,           0.0084951,             0.86128,             0.66008,             0.72545,             0.31507,            0.030736,             0.01465,            0.017078,            0.004357,            0.004357,            0.004357
                  59,            0.038912,            0.035214,           0.0082156,             0.84275,             0.70401,             0.75662,             0.36881,            0.029138,            0.014352,            0.017647,            0.004258,            0.004258,            0.004258
                  60,            0.037899,            0.035275,           0.0091561,             0.87236,              0.7375,             0.77213,              0.3828,            0.028537,            0.014229,            0.018179,            0.004159,            0.004159,            0.004159
                  61,            0.038299,            0.035981,           0.0089941,             0.84844,             0.71169,             0.71827,             0.32635,            0.029425,            0.014695,            0.019678,             0.00406,             0.00406,             0.00406
                  62,            0.038564,            0.035874,           0.0079518,             0.87689,             0.74469,             0.78375,             0.37437,            0.029407,            0.014374,            0.016638,            0.003961,            0.003961,            0.003961
                  63,            0.038058,            0.035487,           0.0077096,             0.85596,             0.72651,             0.76728,             0.35644,             0.02881,            0.014327,            0.016975,            0.003862,            0.003862,            0.003862
                  64,            0.037735,            0.035231,           0.0079167,             0.86646,             0.71771,             0.76084,             0.36745,            0.029116,            0.014148,            0.019545,            0.003763,            0.003763,            0.003763
                  65,            0.036857,            0.034163,           0.0080774,             0.86547,              0.7372,             0.75486,             0.35353,            0.029621,            0.014082,            0.016087,            0.003664,            0.003664,            0.003664
                  66,            0.037438,            0.034578,           0.0074836,             0.86272,             0.72134,             0.75194,              0.3557,             0.02891,            0.013918,            0.018494,            0.003565,            0.003565,            0.003565
                  67,            0.037364,            0.034209,           0.0074568,             0.84068,             0.71794,             0.75291,             0.35388,            0.028949,            0.014084,            0.018417,            0.003466,            0.003466,            0.003466
                  68,            0.036611,              0.0356,            0.007082,             0.84027,             0.70981,             0.74191,             0.35029,            0.029457,            0.014117,            0.016047,            0.003367,            0.003367,            0.003367
